"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDC20",-0.0759543685606589,8.31500072157706,-3.39117521612748,0.00080675050856579,0.00336875495763059,-1.20774458684075
"AL606468.1",-0.0519033021406317,8.52045517365263,-3.46195660456109,0.000628909555513975,0.00269599881777687,-1.20791854808562
"SPRR1A",-0.105126002737414,8.34527992302289,-3.39491024860824,0.000796299248518229,0.00333050707591931,-1.21395445339225
"PBX2P1",0.0977348093078382,8.50869476909099,3.46899510377294,0.000613391103303424,0.00263824680545101,-1.21425873803554
"FMO4",0.0704743701972401,7.4922842541043,3.54846958236308,0.000461332363721198,0.00207780873337137,-1.22519373508075
"LINC01358",-0.10331162233727,8.10019606892151,-3.37319157876793,0.000858888321730575,0.00354626667347044,-1.23421534199635
"FBXO48",0.11450274264906,8.57489828673085,3.51686143058186,0.000516993614968852,0.00228137083504664,-1.23787287163742
"STAB1",0.0627859650834127,8.47769524542454,3.43381262726139,0.000694707346548682,0.00294622186361148,-1.24694445903893
"MIR29B2CHG",0.0844690548869869,8.10622128977499,3.3647712452935,0.00088436584497527,0.00363111040010945,-1.25156519539625
"LINC01210",0.110179826574043,8.22368177690604,3.36687157030688,0.000877945707392585,0.00361049921293745,-1.25710191583264
"LINC00877",-0.0480098801194391,7.70260639414182,-3.46818949987061,0.000615148956416497,0.0026436026401999,-1.25711544858381
"CAPN8",-0.0350575072749792,8.67638887071234,-3.61466029986855,0.000362482574381854,0.00168104553604966,-1.26514773354039
"GCFC2",0.0425146625801309,8.58127136585655,3.50394879004462,0.000541495466885884,0.00237456813157356,-1.26777863221468
"MYOG",-0.0553570817567786,8.53359236072852,-3.45070434223738,0.000654483726419147,0.00279401703405922,-1.27270471968113
"ACKR3",-0.0362793111052335,8.67946349138263,-3.61731968184866,0.000358961275935145,0.00166868356960166,-1.27386335046852
"IL6R",-0.03647603633794,8.61866024863835,-3.53539523164588,0.000483636942970759,0.00216127878240919,-1.27744336606684
"UBXN4",-0.0332193992080516,8.7175459225337,-3.67132567019268,0.000294049939497417,0.00140538974790378,-1.28512022081572
"NIBAN1",0.116187660096258,8.09189528817871,3.35453870592362,0.000916274955119214,0.00374720851986502,-1.28753747744562
"AC114488.2",0.0658813391832062,8.19883414416194,3.35339609474981,0.000919903921156742,0.00375848329901407,-1.29025648851521
"TPRKB",-0.0409662736356224,8.6544628236037,-3.57640649086585,0.000416867811015317,0.00190415172843755,-1.29327499552986
"SULT1C2P1",0.0978535700683376,8.51474224588007,3.44491174248662,0.000668025365590282,0.002842414860024,-1.30575105643327
"RNF187",-0.0674047157141992,8.56307081806679,-3.45875601301715,0.000636087052047408,0.00272073516109395,-1.31360269699323
"RNA5SP122",0.0482082119775292,8.57255537462372,3.48117961089321,0.000587370973643501,0.0025497239992252,-1.31587490749269
"COLQ",0.0387708784521228,8.59777020832587,3.50617466329356,0.000537195662601756,0.00235771747407426,-1.31947947958122
"SEMA4C",-0.0616759661037229,8.49002190670828,-3.40505202854051,0.000768554866012784,0.00322230686506335,-1.33751035831641
"MROH2A",0.0683579600253267,8.36575217762012,3.36176650328331,0.000893626691563621,0.00366621547207128,-1.34611653455783
"NEK4",0.0341845203296526,8.69001917023008,3.63108589292077,0.000341242014566177,0.00159835156141487,-1.35536210262384
"ANO7L1",-0.167913909606965,7.79619308208929,-3.40705774293328,0.000763175969464729,0.0032023584007564,-1.35801542269863
"E2F6",0.0445652373869033,8.65758654268496,3.57777819846627,0.000414791818330683,0.00189634876518735,-1.36387347582938
"TNNC1",0.0642391189670531,8.5775163431619,3.4741588936096,0.000602234736570553,0.00259893266652246,-1.37000142928657
"GPR17",-0.05729948391375,8.59549894562517,-3.4669344005636,0.000617897020853911,0.00265320144591475,-1.40112937234969
"MPZ",0.21114016843005,7.86572124907557,3.35157534805914,0.000925714358597229,0.00377135781957162,-1.42166095987454
"AC005234.1",-0.0324582780086756,8.65226057618739,-3.54206561456009,0.00047213395204098,0.00212065382661895,-1.42327838770388
"AL603840.1",0.0393091507398705,8.64473470712469,3.53908911692631,0.000477234797548967,0.00213822749866205,-1.42589582674296
"CCNL2",0.0186312128084119,8.74152083005484,3.68349401398259,0.000281036862060891,0.00135196557616419,-1.43046288907469
"WNT4",0.0902512739513237,8.11599539663623,3.29590201599295,0.00112079436921668,0.0044155359526741,-1.46814419318983
"FBXO42",0.0671295263401424,8.55467383695985,3.41774819051387,0.000735094744154677,0.00309965952216326,-1.47435881569116
"KCNK12",0.0829881651524347,8.39493149822164,3.33065397106876,0.000994979803014353,0.00401809776362178,-1.47456235872281
"SUSD4",0.0263778411042654,8.72609193242915,3.65032093980213,0.000317858093556358,0.00149698099403666,-1.47510580352191
"CXCR1",-0.0547801137124665,8.42149116644111,-3.32956647048951,0.000998708993647993,0.0040268508836925,-1.48793170470162
"MRPS25",0.0564209776650913,8.5565640469599,3.41248510640348,0.00074879671221488,0.00314971015080925,-1.48970080324199
"ANKRD23",-0.0221866516607127,8.71616191567771,-3.62353859375879,0.000350851987849343,0.00163781177047704,-1.49178667172318
